# CRYO-H-O ARM 1 — the H2-H2 interaction, model and engine
# prereg conformance/atomworld/CRYO_HO_PREREG.md, frozen fc7b6a0
# STANDING FENCES: 2D scene | classical nuclei (no NQE) | STO-3G minimal basis
# r(H2) = 1.3886940180177763 bohr, the 50-digit referee's R_e, frozen
#
# E(H)  = -0.466581849557 Ha   exit Trivial  resid 0.00e0  n_det 1  n_basis 1  scf true  device Cpu
# E(H2) = -1.137306051222 Ha   exit Converged  resid 9.66e-17  n_det 4  n_basis 2  scf true  device Cpu
# D_e(H2) = 0.204142352108 Ha   [banked referee 0.204142352107591]
#
# ---- H (parallel) ----
#   R      E_int(exact)    E_int(MBE2)     E_int(MBE3)     sum dE3        dE4           r_min_x  exit        resid     bad
   2.50  +1.15510026e-1  -3.20365911e-1  +5.11034062e-1  +8.314000e-1  -3.955240e-1   2.500  Converged   4.9e-11  0
   3.00  +4.95116847e-2  -1.70449601e-1  +2.58748540e-1  +4.291981e-1  -2.092369e-1   3.000  Converged   5.1e-11  0
   3.50  +2.06707100e-2  -8.07166576e-2  +1.19717070e-1  +2.004337e-1  -9.904636e-2   3.500  Converged   1.6e-11  0
   4.00  +8.40219039e-3  -3.53010525e-2  +5.17672258e-2  +8.706828e-2  -4.336504e-2   4.000  Converged   2.1e-11  0
   4.50  +3.32733256e-3  -1.46705095e-2  +2.13124151e-2  +3.598292e-2  -1.798508e-2   4.500  Converged   5.1e-11  0
   5.00  +1.27929848e-3  -5.85626391e-3  +8.40345792e-3  +1.425972e-2  -7.124159e-3   5.000  Converged   4.2e-11  0
   5.50  +4.74690100e-4  -2.24163741e-3  +3.16448103e-3  +5.406118e-3  -2.689791e-3   5.500  Converged   7.1e-11  0
   6.00  +1.69988849e-4  -8.19683952e-4  +1.13458396e-3  +1.954268e-3  -9.645951e-4   6.000  Converged   8.3e-11  0
   7.00  +2.11393147e-5  -9.56632697e-5  +1.26488667e-4  +2.221519e-4  -1.053494e-4   7.000  Converged   7.4e-11  0
   8.00  +3.71568109e-6  -9.37522474e-6  +1.17718945e-5  +2.114712e-5  -8.056213e-6   8.000  Converged   9.1e-11  0
   9.00  +1.48162771e-6  -7.46198125e-7  +8.86407778e-7  +1.632606e-6  +5.952199e-7   9.000  Converged   5.1e-11  0
  10.00  +9.12933793e-7  -4.51531106e-8  +5.07529672e-8  +9.590608e-8  +8.621808e-7  10.000  Converged   2.8e-11  0
  12.00  +4.26628295e-7  -5.99422734e-11  +6.12176976e-11  +1.211600e-10  +4.265671e-7  12.000  Converged   3.2e-11  0
#
# ---- T (perpendicular) ----
#   R      E_int(exact)    E_int(MBE2)     E_int(MBE3)     sum dE3        dE4           r_min_x  exit        resid     bad
   2.50  +1.43384550e-1  -3.96138773e-1  +6.56742856e-1  +1.052882e0  -5.133583e-1   1.935  Converged   3.3e-11  0
   3.00  +6.26733524e-2  -2.46902836e-1  +3.70657956e-1  +6.175608e-1  -3.079846e-1   2.408  Converged   4.4e-11  0
   3.50  +2.67532582e-2  -1.34408699e-1  +1.91644224e-1  +3.260529e-1  -1.648910e-1   2.890  Converged   4.7e-11  0
   4.00  +1.10392468e-2  -6.50315636e-2  +9.02513734e-2  +1.552829e-1  -7.921213e-2   3.378  Converged   4.7e-11  0
   4.50  +4.37510789e-3  -2.87974966e-2  +3.93437734e-2  +6.814127e-2  -3.496867e-2   3.868  Converged   4.3e-11  0
   5.00  +1.65768471e-3  -1.20305797e-2  +1.62132794e-2  +2.824386e-2  -1.455559e-2   4.361  Converged   3.6e-11  0
   5.50  +5.93976511e-4  -4.82239382e-3  +6.39131549e-3  +1.121371e-2  -5.797339e-3   4.856  Converged   6.1e-11  0
   6.00  +1.95547753e-4  -1.85863130e-3  +2.41211957e-3  +4.270751e-3  -2.216572e-3   5.351  Converged   6.9e-11  0
   7.00  +9.33919903e-6  -2.42040235e-4  +2.98368957e-4  +5.404092e-4  -2.890298e-4   6.344  Converged   9.5e-11  0
   8.00  -5.59208734e-6  -2.64301326e-5  +3.07070141e-5  +5.713715e-5  -3.629910e-5   7.339  Converged   8.1e-11  0
   9.00  -4.08093179e-6  -2.41669112e-6  +2.62782388e-6  +5.044515e-6  -6.708756e-6   8.335  Converged   3.5e-11  0
  10.00  -2.46718517e-6  -1.76580784e-7  +1.78906417e-7  +3.554872e-7  -2.646092e-6   9.332  Converged   4.0e-11  0
  12.00  -9.90493950e-7  -3.76587206e-10  +3.34092309e-10  +7.106795e-10  -9.908280e-7  11.327  Converged   3.2e-11  0
#
# ---- L (collinear) ----
#   R      E_int(exact)    E_int(MBE2)     E_int(MBE3)     sum dE3        dE4           r_min_x  exit        resid     bad
   2.50  +2.42754166e-1  -3.85991836e-1  +7.14498426e-1  +1.100490e0  -4.717443e-1   1.111  Converged   4.5e-11  0
   3.00  +9.14364555e-2  -3.04149962e-1  +4.30291395e-1  +7.344414e-1  -3.388549e-1   1.611  Converged   4.1e-11  0
   3.50  +3.71934829e-2  -1.93296236e-1  +2.56263692e-1  +4.495599e-1  -2.190702e-1   2.111  Converged   4.1e-11  0
   4.00  +1.53182320e-2  -1.07764310e-1  +1.39206744e-1  +2.469711e-1  -1.238885e-1   2.611  Converged   3.8e-11  0
   4.50  +6.16405002e-3  -5.34232413e-2  +6.78240973e-2  +1.212473e-1  -6.166005e-2   3.111  Converged   6.7e-11  0
   5.00  +2.38434812e-3  -2.40229712e-2  +3.00790596e-2  +5.410203e-2  -2.769471e-2   3.611  Converged   4.8e-11  0
   5.50  +8.80042539e-4  -1.00883120e-2  +1.24444877e-2  +2.253280e-2  -1.156445e-2   4.111  Converged   2.3e-11  0
   6.00  +3.08079873e-4  -4.04893392e-3  +4.89713571e-3  +8.946070e-3  -4.589056e-3   4.611  Converged   9.4e-11  0
   7.00  +3.09547791e-5  -5.81851873e-4  +6.65839332e-4  +1.247691e-3  -6.348846e-4   5.611  Converged   3.3e-11  0
   8.00  +2.97891504e-6  -7.05325981e-5  +7.54473394e-5  +1.459799e-4  -7.246842e-5   6.611  Converged   4.5e-11  0
   9.00  +1.31569136e-6  -7.20705168e-6  +7.14637460e-6  +1.435343e-5  -5.830683e-6   7.611  Converged   5.1e-11  0
  10.00  +1.17891023e-6  -6.12357243e-7  +5.57361839e-7  +1.169719e-6  +6.215484e-7   8.611  Converged   4.3e-11  0
  12.00  +7.39548935e-7  -2.01489792e-9  +1.53109980e-9  +3.545998e-9  +7.380178e-7  10.611  Converged   3.2e-11  0

# ================================ G1 — has the MODEL an H2-H2 well?
# staked: E_int(R) > -1.0e-5 Ha for every R >= 3 bohr, all orientations
# deepest E_int anywhere at R >= 3: -5.592087e-6 Ha at R = 8.00 bohr, T (perpendicular)  (-1.766 K)
# G1: HOLDS — no well
# sign census at R >= 3: 4 of 36 points attractive at all

# ================================ G2 — does the ENGINE's pair level invent binding?
# staked: E_int_MBE2 < E_int_exact - 1.0e-4 Ha somewhere in R in [3, 6]
# worst MBE2 over-binding in band: -3.955864e-1 Ha at R = 3.00, L (collinear)  (exact +9.143646e-2, MBE2 -3.041500e-1)
# G2: HOLDS — the pair level over-binds

# ================================ G3 — does the three-body term correct it?
# staked: |MBE3 - exact| < |MBE2 - exact| at G2's worst point. No band on the size.
# at R = 3.00, L (collinear):  |MBE2 residual| 3.955864e-1  ->  |MBE3 residual| 3.388549e-1   (1.2x)
# G3: HOLDS — MBE3 is closer

# ================================ P1 — the sign plant (carrier: intermolecular channel)
# carrier NONZERO IN the intermolecular channel: 21 of 21 points in R in [3, 6] have |E_int| > 1.0e-4 Ha
# planted deepest E_int: -9.143646e-2 Ha (bar -1.0e-4)   work: 36 points negated
# P1: FIRES

# ================================ P2 — the three-body deletion plant (carrier: 3-body channel)
# carrier NONZERO IN the three-body channel at G2's worst point: sum dE3 = +7.344414e-1 Ha
# honest MBE3 residual 3.388549e-1  ->  planted (dE3 deleted) 3.955864e-1   ratio 1.2x (bar 10x)
# P2: DID NOT FIRE — G3 is VOID

# ================================ localization clause
# the expansion's error is largest at R = 2.50, T (perpendicular) — dE4 = -5.133583e-1 Ha, shortest cross distance 1.935 bohr
# convergence: 0 sub-cluster solves not converged; 0 of 39 four-atom solves not converged
# WORK: 431 FCI solves, largest 36 determinants (staked cost model: ~429)
