# CRYO-H-O ARM 1 — tail probe and floor control  [POST-DATA, changes no stake]
# E(H2) = -1.137306051222142 Ha
#
#     R        E_int(H)        E_int(T)        E_int(L)      slope(H) slope(T) slope(L)
     8.0  +3.71568109e-6  -5.59208734e-6  +2.97891504e-6       NaN     NaN     NaN
    10.0  +9.12933793e-7  -2.46718517e-6  +1.17891023e-6    -6.290  -3.667  -4.154
    12.0  +4.26628295e-7  -9.90493950e-7  +7.39548935e-7    -4.173  -5.006  -2.558
    14.0  +2.18142521e-7  -4.57849701e-7  +4.25896239e-7    -4.351  -5.006  -3.580
    16.0  +1.19901512e-7  -2.34705414e-7  +2.50201312e-7    -4.482  -5.004  -3.984
    20.0  +4.29719718e-8  -7.68602875e-8  +9.64057731e-8    -4.598  -5.003  -4.274
    24.0  +1.82559901e-8  -3.08783954e-8  +4.25796016e-8    -4.695  -5.002  -4.482
    30.0  +6.30489394e-9  -1.01156465e-8  +1.52053388e-8    -4.764  -5.001  -4.615
    40.0  +1.57256652e-9  -2.40003084e-9  +3.90517041e-9    -4.827  -5.001  -4.725
#
# ---- THE FLOOR CONTROL: nothing can interact here ----
    60.0  +2.17103224e-10  -3.16014326e-10  +5.53370683e-10   <- floor
   100.0  +1.74877890e-11  -2.45763410e-11  +4.54627447e-11   <- floor
#
# ---- the T well, refined on a 0.25 bohr grid  [POST-DATA] ----
    6.00  +1.95547753e-4
    6.25  +1.06592258e-4
    6.50  +5.48464731e-5
    6.75  +2.54803671e-5
    7.00  +9.33919903e-6
    7.25  +8.55400993e-7
    7.50  -3.29868069e-6
    7.75  -5.07425590e-6
    8.00  -5.59208734e-6
    8.25  -5.48149689e-6
    8.50  -5.08660581e-6
    8.75  -4.58926653e-6
    9.00  -4.08093179e-6
    9.25  -3.60391480e-6
    9.50  -3.17465917e-6
    9.75  -2.79661288e-6
   10.00  -2.46718517e-6
   10.25  -2.18138696e-6
   10.50  -1.93364540e-6
   10.75  -1.71863830e-6
   11.00  -1.53162056e-6
# T minimum on the 0.25 grid: -5.59208734e-6 Ha at R = 8.00 bohr  (-1.766 K)
#
# READ: if the floor rows are orders BELOW the 8-12 bohr rows, the tail is real
#       and the slopes above are its exponent. If they are the same size, the
#       tail IS the floor and G1's sign census is noise.
