# P2 dE4 arm, FULL STRENGTH: exact-gradient four-body, first run at design strength
# launch 2026-09-01T16:12:06-05:00  HEAD=21e6be3  binary=/home/emoore/holon-artifacts/bin/waterquench_21e6be3
# binary_sha256=7790cf3d27899527792f335ada0f4aef7361a2f5b9ed1cf5c6a87506d6cd7697  build_exit=0 (clean worktree, private target)
# gates at this commit: de4_momentum 4/4 (momentum exact, control zero, torque, force-is-gradient)
# loadavg_start: 78.22 76.09 73.89 138/3505 4043624  clock_start_MHz: 2705
# curve H-H: 96 knots, R_e = 1.3887 bohr, D_e = 0.204142 Ha, worst residual 8.7e-11, 1.4 s
# curve O-H: 96 knots, R_e = 1.9909 bohr, D_e = 0.122901 Ha, worst residual 9.9e-11, 15.9 s
# WARNING O-O: worst residual 4.81e-6 exceeds CONVERGED_RESIDUAL 1e-9. Locate it before trusting anything this arm reports; see examples/s2_oo_residual.rs
# curve O-O: 96 knots, R_e = 2.4421 bohr, D_e = 0.147621 Ha, worst residual 4.8e-6, 1137.8 s
# arm = mixed (8 H + 4 O)   seeds = 1   12 atoms in 34.6 x 20.8 bohr
# 20000 boundaries x 64 substeps, dt = 1.0772 a.u. -> 33.35 ps
# T_init 3000 K, T_target 300 K, tau 2000
# setup 1157.5 s
  [0x0000000053415426] frame  1000/20000 | T  243 K | dE4 solves:  121 | drift: 6.43e-4 | time: 704.4 s
  [0x0000000053415426] frame  2000/20000 | T  441 K | dE4 solves:  121 | drift: 6.44e-4 | time: 707.0 s
  [0x0000000053415426] frame  3000/20000 | T  259 K | dE4 solves:  121 | drift: 6.46e-4 | time: 711.5 s
  [0x0000000053415426] frame  4000/20000 | T  374 K | dE4 solves:  121 | drift: 6.45e-4 | time: 719.1 s
  [0x0000000053415426] frame  5000/20000 | T  299 K | dE4 solves:  121 | drift: 6.46e-4 | time: 725.4 s
  [0x0000000053415426] frame  6000/20000 | T  496 K | dE4 solves:  171 | drift: 5.75e-4 | time: 1078.8 s
  [0x0000000053415426] frame  7000/20000 | T  269 K | dE4 solves:  325 | drift: 5.76e-4 | time: 2197.4 s
  [0x0000000053415426] frame  8000/20000 | T  212 K | dE4 solves:  325 | drift: 5.75e-4 | time: 2208.5 s
  [0x0000000053415426] frame  9000/20000 | T  245 K | dE4 solves:  662 | drift: 5.64e-4 | time: 3929.5 s
  [0x0000000053415426] frame 10000/20000 | T  286 K | dE4 solves:  662 | drift: 5.56e-4 | time: 3931.8 s
  [0x0000000053415426] frame 11000/20000 | T  373 K | dE4 solves:  662 | drift: 5.60e-4 | time: 3933.2 s
  [0x0000000053415426] frame 12000/20000 | T  348 K | dE4 solves:  662 | drift: 5.68e-4 | time: 3939.4 s
  [0x0000000053415426] frame 13000/20000 | T  294 K | dE4 solves:  709 | drift: 5.46e-4 | time: 4204.2 s
  [0x0000000053415426] frame 14000/20000 | T  227 K | dE4 solves:  709 | drift: 5.42e-4 | time: 4208.6 s
  [0x0000000053415426] frame 15000/20000 | T  300 K | dE4 solves:  709 | drift: 5.39e-4 | time: 4211.6 s
  [0x0000000053415426] frame 16000/20000 | T  323 K | dE4 solves:  709 | drift: 5.38e-4 | time: 4215.0 s
  [0x0000000053415426] frame 17000/20000 | T  297 K | dE4 solves:  709 | drift: 5.39e-4 | time: 4219.1 s
  [0x0000000053415426] frame 18000/20000 | T  313 K | dE4 solves:  715 | drift: 5.42e-4 | time: 4249.0 s
  [0x0000000053415426] frame 19000/20000 | T  297 K | dE4 solves:  735 | drift: 5.14e-4 | time: 4382.7 s
  [0x0000000053415426] frame 20000/20000 | T  277 K | dE4 solves:  735 | drift: 5.15e-4 | time: 4386.1 s
seed 0x0000000053415426  dt 0.5386  modal-O O4H2  free O 0  free H 0  largest 6  molecules [H2 H2 H2 O4H2]  fenced 4  dE4_evals 735  drift 7.05e-4/1.39e1  |p| 2.86e-12/8.18e-8  T 277 K  4386 s

# ---- mixed (8 H + 4 O) ----
# seeds with the modal O-containing molecule = H2O : 0 / 1
# seeds with ZERO free oxygen                      : 1 / 1
# seeds with any molecule at all                   : 1 / 1
# worst drift / bound = 5.086e-5, worst |p| / bound = 3.500e-5
# fence incidence (triples refused for want of a table), per seed: [4]
# dE4 (O,H,H,H) ab-initio solves, per seed: [735]
# molecule census over all seeds: 3xH2  1xO4H2
# exit=0  end=2026-09-01T17:44:30-05:00  loadavg_end: 61.15 65.79 69.50 54/2727 4169412  clock_end_MHz: 2600
