# dE3 along the angle axis at x = 1.766, y = 2.576
# c in [1.412500, 1.414214], 41 points; the shipped 49-node grid has spacing 0.028421
# theta = acos(1 - c^2); z is the H-H side, which is what E(HH) is read at
# d2, d3: centred divided differences in c on this scan's own spacing

            c     theta         z              dE3            d2            d3
     1.412500  174.3584   4.33692      0.136445795           NaN           NaN
     1.412543  174.4294   4.33705      0.136661113           NaN           NaN
     1.412586  174.5013   4.33718      0.136879076      1.4941e3      1.2922e6
     1.412629  174.5741   4.33730      0.137099780      1.5512e3      1.3758e6
     1.412671  174.6479   4.33743      0.137323331      1.6120e3      1.4672e6
     1.412714  174.7228   4.33756      0.137549840      1.6769e3      1.5673e6
     1.412757  174.7988   4.33768      0.137779426      1.7463e3     -1.2972e9
     1.412800  174.8758   4.33781      0.138012218     -1.0947e5     -2.2823e8
     1.412843  174.9541   4.33794      0.138044117     -1.7808e4      1.2777e9
     1.412886  175.0336   4.33806      0.138043334     6.7655e-1      2.0786e8
     1.412928  175.1143   4.33819      0.138042552     6.7676e-1      6.5059e0
     1.412971  175.1965   4.33832      0.138041772     6.7711e-1      7.7430e0
     1.413014  175.2800   4.33845      0.138040993     6.7742e-1      9.0493e0
     1.413057  175.3651   4.33857      0.138040215     6.7789e-1      1.1208e1
     1.413100  175.4517   4.33870      0.138039439     6.7838e-1      9.0302e0
     1.413143  175.5401   4.33883      0.138038663     6.7866e-1      7.6004e0
     1.413185  175.6302   4.33895      0.138037889     6.7903e-1      1.4465e1
     1.413228  175.7222   4.33908      0.138037117     6.7990e-1      4.3192e0
     1.413271  175.8163   4.33921      0.138036345     6.7940e-1      1.1222e1
     1.413314  175.9125   4.33933      0.138035575     6.8086e-1      1.3379e1
     1.413357  176.0110   4.33946      0.138034806     6.8055e-1      3.6039e0
     1.413400  176.1120   4.33959      0.138034038     6.8117e-1      8.3156e0
     1.413442  176.2157   4.33971      0.138033271     6.8126e-1      1.4276e1
     1.413485  176.3223   4.33984      0.138032506     6.8239e-1      8.1440e0
     1.413528  176.4321   4.33997      0.138031742     6.8196e-1      3.9838e0
     1.413571  176.5454   4.34010      0.138030979     6.8273e-1      1.1740e1
     1.413614  176.6626   4.34022      0.138030218     6.8297e-1      1.4264e1
     1.413657  176.7840   4.34035      0.138029457     6.8396e-1      6.8957e0
     1.413699  176.9102   4.34048      0.138028698     6.8356e-1      5.7857e0
     1.413742  177.0417   4.34060      0.138027941     6.8445e-1      1.5889e1
     1.413785  177.1794   4.34073      0.138027184     6.8492e-1      6.1557e0
     1.413828  177.3242   4.34086      0.138026429     6.8498e-1      1.2829e1
     1.413871  177.4772   4.34098      0.138025675     6.8602e-1      3.2699e0
     1.413914  177.6401   4.34111      0.138024922     6.8526e-1      5.2378e0
     1.413957  177.8152   4.34124      0.138024171     6.8647e-1      1.8433e1
     1.413999  178.0056   4.34137      0.138023420     6.8684e-1      1.0843e1
     1.414042  178.2161   4.34149      0.138022671     6.8740e-1      5.9594e0
     1.414085  178.4551   4.34162      0.138021924     6.8735e-1      6.5335e0
     1.414128  178.7386   4.34175      0.138021177     6.8796e-1      1.4464e1
     1.414171  179.1081   4.34187      0.138020432           NaN           NaN
     1.414214  180.0000   4.34200      0.138019688           NaN           NaN

   largest |d3| 1.2972e9 at c = 1.412757
   the held-out maximum sits at c = 1.373
   A smooth surface gives a bounded, slowly varying d3. One sample orders of
   magnitude above its neighbours is a kink, and no amount of grid buys it back.
