# dE3 along the angle axis at x = 2.621, y = 2.703
# c in [0.300000, 0.620000], 61 points; the shipped 49-node grid has spacing 0.028421
# theta = acos(1 - c^2); z is the H-H side, which is what E(HH) is read at
# d2, d3: centred divided differences in c on this scan's own spacing

            c     theta         z              dE3            d2            d3
     0.300000   24.4946   1.13223      0.251544629           NaN           NaN
     0.305333   24.9371   1.15225      0.251468092           NaN           NaN
     0.310667   25.3798   1.17228      0.251371923    -6.9899e-1     -1.6632e0
     0.316000   25.8230   1.19231      0.251255871    -7.0790e-1     -1.6750e0
     0.321333   26.2666   1.21234      0.251119684    -7.1685e-1     -1.6831e0
     0.326667   26.7105   1.23237      0.250963107    -7.2585e-1     -1.6880e0
     0.332000   27.1549   1.25240      0.250785883    -7.3486e-1     -1.6899e0
     0.337333   27.5997   1.27243      0.250587757    -7.4387e-1     -1.6893e0
     0.342667   28.0449   1.29247      0.250368471    -7.5288e-1     -1.6864e0
     0.348000   28.4905   1.31250      0.250127770    -7.6186e-1     -1.6817e0
     0.353333   28.9366   1.33254      0.249865399    -7.7082e-1     -1.6754e0
     0.358667   29.3831   1.35258      0.249581102    -7.7973e-1     -1.6675e0
     0.364000   29.8301   1.37262      0.249274626    -7.8860e-1     -1.6583e0
     0.369333   30.2776   1.39266      0.248945718    -7.9742e-1     -1.6476e0
     0.374667   30.7255   1.41270      0.248594129    -8.0618e-1     -1.6352e0
     0.380000   31.1739   1.43274      0.248219608    -8.1486e-1     -1.6210e0
     0.385333   31.6228   1.45278      0.247821908    -8.2347e-1     -1.6044e0
     0.390667   32.0722   1.47283      0.247400786    -8.3198e-1     -1.5851e0
     0.396000   32.5221   1.49287      0.246955999    -8.4037e-1     -1.5623e0
     0.401333   32.9725   1.51292      0.246487307    -8.4864e-1     -1.5354e0
     0.406667   33.4235   1.53297      0.245994477    -8.5675e-1     -1.5036e0
     0.412000   33.8750   1.55301      0.245477276    -8.6468e-1     -1.4660e0
     0.417333   34.3270   1.57306      0.244935480    -8.7239e-1     -1.4217e0
     0.422667   34.7795   1.59311      0.244368870    -8.7984e-1     -1.3698e0
     0.428000   35.2327   1.61316      0.243777233    -8.8700e-1     -2.9728e3
     0.433333   35.6864   1.63321      0.243160365     -3.2589e1     -2.5454e3
     0.438667   36.1407   1.65326      0.241616509     -2.8038e1      2.8719e3
     0.444000   36.5955   1.67331      0.239275121     -1.9554e0      2.4454e3
     0.449333   37.0510   1.69336      0.236878111     -1.9535e0     8.2340e-1
     0.454667   37.5071   1.71341      0.234425536     -1.9467e0      1.7666e0
     0.460000   37.9638   1.73347      0.231917588     -1.9346e0      2.7659e0
     0.465333   38.4211   1.75352      0.229354611     -1.9172e0      3.8141e0
     0.470667   38.8790   1.77358      0.226737101     -1.8940e0      4.9029e0
     0.476000   39.3376   1.79363      0.224065719     -1.8649e0      6.0227e0
     0.481333   39.7969   1.81368      0.221341291     -1.8297e0      7.1629e0
     0.486667   40.2568   1.83374      0.218564818     -1.7885e0      8.3120e0
     0.492000   40.7174   1.85380      0.215737473     -1.7411e0      9.4580e0
     0.497333   41.1787   1.87385      0.212860605     -1.6876e0      1.0589e1
     0.502667   41.6407   1.89391      0.209935735     -1.6281e0      1.1691e1
     0.508000   42.1034   1.91397      0.206964554     -1.5629e0      1.2754e1
     0.513333   42.5668   1.93402      0.203948918     -1.4921e0      1.3766e1
     0.518667   43.0310   1.95408      0.200890841     -1.4160e0      1.4715e1
     0.524000   43.4959   1.97414      0.197792486     -1.3351e0      1.5593e1
     0.529333   43.9615   1.99420      0.194656155     -1.2497e0      1.6390e1
     0.534667   44.4279   2.01426      0.191484276     -1.1603e0      1.7100e1
     0.540000   44.8951   2.03432      0.188279395     -1.0673e0      1.7717e1
     0.545333   45.3631   2.05438      0.185044154    -9.7129e-1      1.8238e1
     0.550667   45.8319   2.07444      0.181781285    -8.7276e-1      1.8659e1
     0.556000   46.3015   2.09450      0.178493592    -7.7226e-1      1.8981e1
     0.561333   46.7719   2.11456      0.175183932    -6.7030e-1      1.9204e1
     0.566667   47.2431   2.13462      0.171855205    -5.6741e-1      1.9330e1
     0.572000   47.7152   2.15468      0.168510339    -4.6411e-1      1.9362e1
     0.577333   48.1882   2.17474      0.165152272    -3.6088e-1      1.9305e1
     0.582667   48.6620   2.19480      0.161783939    -2.5819e-1      1.9163e1
     0.588000   49.1367   2.21486      0.158408262    -1.5647e-1      1.8943e1
     0.593333   49.6124   2.23492      0.155028135    -5.6129e-2      1.8652e1
     0.598667   50.0889   2.25499      0.151646411     4.2477e-2      1.8295e1
     0.604000   50.5664   2.27505      0.148265895     1.3901e-1      1.7879e1
     0.609333   51.0448   2.29511      0.144889333     2.3319e-1      1.7412e1
     0.614667   51.5241   2.31517      0.141519404           NaN           NaN
     0.620000   52.0045   2.33524      0.138158713           NaN           NaN

   largest |d3| 2.9728e3 at c = 0.428000
   the held-out maximum sits at c = 1.373
   A smooth surface gives a bounded, slowly varying d3. One sample orders of
   magnitude above its neighbours is a kink, and no amount of grid buys it back.
