# DOMAIN SWEEP for the (Cl, H, H) table — apex Cl, axes Cl-H and Cl-H
# threads = 8, nx = 13, nc = 17
# E(atoms) = -455.475356097843 Ha
# located R_e: apex-H 2.5369, apex-H 2.5369, opposite H-H 1.3884 bohr
# inner ends from pair::derive_range (one hartree above asymptote):
#   x_lo = 1.2377, y_lo = 1.2377 bohr

## truncation shell: worst |dE3| anywhere with max(apex side) = b
##   x swept 13 ways over [1.238, b], angle swept 17 ways over
##   c = sqrt(1-cos theta) in [0.05, 1.4142]

   b/R_e      b     worst |dE3|    at x     theta      z(opp)      s2
     1.5   3.805   3.0422e-1    2.308     4.05      1.512   2.308
     2.0   5.074   1.2708e-1    3.156     4.05      1.939   3.156
     2.5   6.342   5.4125e-2    3.790     4.05      2.576   3.790
     3.0   7.611   2.0213e-2    4.424     4.05      3.213   4.424
     3.5   8.879   6.5737e-3    5.059     4.05      3.850   5.059
     4.0  10.148   1.9190e-3    5.693     4.05      4.487   5.693
     5.0  12.685   1.2338e-4    6.961     4.05      5.762   6.961
     6.0  15.222   5.3488e-6    8.230     4.05      7.037   8.230
     7.0  17.759   1.3240e-6   15.005     4.05      2.986  15.005
     8.0  20.296   5.5751e-7   18.707     4.05      2.103  18.707

# swept in 1401 s
# READ THIS AS: R_HI is the smallest b whose row is under the table's truncation
# stake, RE-SWEPT FINELY before it is trusted — a grid maximum understates its own
# supremum, and SATURATION-2's first sweep cleared its stake by three percent and
# then failed the fine re-sweep.
