2026-09-24T16:28:43Z t=0.00h | m5: 0 classes (0 anneal hits, 0 moves) | m6: 2 classes (0 from lifts of m5 [0 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 0/2 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 0 restarts, 0 moves, 0 snaps, best residual inf | v6: 0 members, 0 joins, 0 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-24T16:58:43Z t=0.50h | m5: 0 classes (0 anneal hits, 0 moves) | m6: 4 classes (0 from lifts of m5 [0 lifts], 2 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 117 s | m7 anneal: 45 restarts, 83711842 moves, 0 snaps, best residual 2.1478e-1 | v6: 8 members, 16 joins, 830049865 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 317535071 moves, best 3.6598e-1 | witness: false
2026-09-24T17:28:44Z t=1.00h | m5: 0 classes (0 anneal hits, 0 moves) | m6: 4 classes (0 from lifts of m5 [0 lifts], 2 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 117 s | m7 anneal: 91 restarts, 169269674 moves, 0 snaps, best residual 2.1478e-1 | v6: 12 members, 35 joins, 1684958160 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 641503149 moves, best 3.3801e-1 | witness: false
# 2026-09-24T17:44:52Z tower RESTARTED at shot wall 1.27 h: v7 dropped (the m=5 member census excludes every split, see census/), h5 3 + v6 1 + l7 2 + a7 1; t below restarts at 0
2026-09-24T17:44:52Z t=0.00h | m5: 0 classes (0 anneal hits, 0 moves) | m6: 4 classes (0 from lifts of m5 [0 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 0 restarts, 0 moves, 0 snaps, best residual inf | v6: 0 members, 0 joins, 0 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
# 2026-09-24T17:45:00Z re-restarted within a minute: h5 5 + v6 1 + l7 1 + a7 1 (l7 idles between classes)
2026-09-24T17:45:06Z t=0.00h | m5: 146 classes (0 anneal hits, 0 moves) | m6: 4 classes (0 from lifts of m5 [0 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 0 restarts, 0 moves, 0 snaps, best residual inf | v6: 0 members, 0 joins, 0 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-24T18:15:06Z t=0.50h | m5: 169 classes (2939 anneal hits, 1864473743 moves) | m6: 4 classes (0 from lifts of m5 [0 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 45 restarts, 83711842 moves, 0 snaps, best residual 2.1478e-1 | v6: 3 members, 2 joins, 420247737 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-24T18:45:06Z t=1.00h | m5: 225 classes (5382 anneal hits, 3388851102 moves) | m6: 4 classes (0 from lifts of m5 [0 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 88 restarts, 163679625 moves, 0 snaps, best residual 2.1478e-1 | v6: 5 members, 6 joins, 793606746 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-24T19:15:06Z t=1.50h | m5: 264 classes (7883 anneal hits, 4889832585 moves) | m6: 4 classes (0 from lifts of m5 [0 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 128 restarts, 237999993 moves, 0 snaps, best residual 2.1478e-1 | v6: 7 members, 10 joins, 1162183035 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-24T19:45:06Z t=2.00h | m5: 309 classes (10658 anneal hits, 6627875928 moves) | m6: 4 classes (0 from lifts of m5 [0 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 172 restarts, 319585393 moves, 0 snaps, best residual 2.1478e-1 | v6: 10 members, 21 joins, 1568389436 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-24T20:15:06Z t=2.50h | m5: 341 classes (13243 anneal hits, 8270643426 moves) | m6: 4 classes (0 from lifts of m5 [0 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 214 restarts, 397663010 moves, 0 snaps, best residual 2.1478e-1 | v6: 11 members, 28 joins, 1957542432 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-24T20:45:06Z t=3.00h | m5: 387 classes (16084 anneal hits, 10065166608 moves) | m6: 4 classes (0 from lifts of m5 [0 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 259 restarts, 481285453 moves, 0 snaps, best residual 1.9793e-1 | v6: 15 members, 54 joins, 2380665991 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-24T21:15:06Z t=3.50h | m5: 428 classes (19089 anneal hits, 11979401205 moves) | m6: 4 classes (0 from lifts of m5 [0 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 306 restarts, 568548041 moves, 0 snaps, best residual 1.9793e-1 | v6: 16 members, 63 joins, 2835436072 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-24T21:45:06Z t=4.00h | m5: 472 classes (22040 anneal hits, 13857702054 moves) | m6: 4 classes (0 from lifts of m5 [0 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 353 restarts, 656084680 moves, 0 snaps, best residual 1.9793e-1 | v6: 17 members, 70 joins, 3281529138 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-24T22:15:06Z t=4.50h | m5: 501 classes (24698 anneal hits, 15519935670 moves) | m6: 4 classes (0 from lifts of m5 [0 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 395 restarts, 734180385 moves, 0 snaps, best residual 1.9793e-1 | v6: 17 members, 70 joins, 3671882107 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-24T22:45:06Z t=5.00h | m5: 521 classes (27141 anneal hits, 17048439659 moves) | m6: 4 classes (0 from lifts of m5 [0 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 433 restarts, 804972002 moves, 0 snaps, best residual 1.9793e-1 | v6: 19 members, 88 joins, 4026063926 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
