# curve H-H: 96 knots, R_e = 1.3887 bohr, D_e = 0.204142 Ha, worst residual 8.7e-11, 7.0 s
# curve O-H: 96 knots, R_e = 1.9909 bohr, D_e = 0.122901 Ha, worst residual 9.9e-11, 19.8 s
# WARNING O-O: worst residual 2.68e-6 exceeds CONVERGED_RESIDUAL 1e-9.
# curve O-O: 96 knots, R_e = 2.4421 bohr, D_e = 0.147621 Ha, worst residual 2.7e-6, 2596.2 s
# arm = mixed (8 H + 4 O)   ozone = fenced   seeds = 8   12 atoms in 34.6 x 20.8 bohr
# 20000 boundaries x 64 substeps, dt = 1.0772 a.u. -> 33.35 ps
# T_init 3000 K, T_target 300 K, tau 2000
# trajectory dump: every grain boundary, to /tmp/claude-1000/-home-emoore-CIRISOntology/4cf4fa5c-aaa3-4173-83b9-978cb75c887f/scratchpad/traj/fenced
# setup 2635.9 s
  [0x0000000053415421] frame  2000/20000 | T  326 K | drift 2.80e-5 |  12.8 s
  [0x0000000053415421] frame  4000/20000 | T  279 K | drift 2.91e-5 |  24.1 s
  [0x0000000053415421] frame  6000/20000 | T  363 K | drift 4.59e-5 |  31.8 s
  [0x0000000053415421] frame  8000/20000 | T  407 K | drift 4.41e-5 |  63.9 s
  [0x0000000053415421] frame 10000/20000 | T  284 K | drift 6.60e-5 |  73.4 s
  [0x0000000053415421] frame 12000/20000 | T  320 K | drift 5.87e-5 |  82.4 s
  [0x0000000053415421] frame 14000/20000 | T  312 K | drift 6.23e-5 |  87.5 s
  [0x0000000053415421] frame 16000/20000 | T  346 K | drift 6.56e-5 |  95.2 s
  [0x0000000053415421] frame 18000/20000 | T  285 K | drift 6.71e-5 | 126.1 s
  [0x0000000053415421] frame 20000/20000 | T  251 K | drift 1.37e-4 | 173.2 s
seed 0x0000000053415421  dt 0.5386  modal-O O4H4  free O 0  free H 0  largest 8  molecules [H2 H2 O4H4]  fenced 4  drift 1.50e-4/2.04e1  |p| 3.76e-12/7.60e-8  T 251 K  173 s
# dumped 20000 frames to /tmp/claude-1000/-home-emoore-CIRISOntology/4cf4fa5c-aaa3-4173-83b9-978cb75c887f/scratchpad/traj/fenced/seed_0x0000000053415421.traj (12.3 MB)
  [0x0000000053415422] frame  2000/20000 | T  273 K | drift 1.26e-5 |  11.0 s
  [0x0000000053415422] frame  4000/20000 | T  266 K | drift 1.47e-5 |  50.7 s
  [0x0000000053415422] frame  6000/20000 | T  265 K | drift 1.45e-5 |  64.1 s
  [0x0000000053415422] frame  8000/20000 | T  128 K | drift 1.07e-5 |  68.5 s
  [0x0000000053415422] frame 10000/20000 | T  258 K | drift 7.33e-6 |  72.1 s
  [0x0000000053415422] frame 12000/20000 | T  238 K | drift 1.31e-5 | 124.8 s
  [0x0000000053415422] frame 14000/20000 | T  339 K | drift 6.18e-6 | 133.8 s
  [0x0000000053415422] frame 16000/20000 | T  359 K | drift 1.03e-5 | 145.7 s
  [0x0000000053415422] frame 18000/20000 | T  244 K | drift 8.09e-6 | 178.0 s
  [0x0000000053415422] frame 20000/20000 | T  237 K | drift 1.50e-5 | 190.3 s
seed 0x0000000053415422  dt 0.5386  modal-O  O2H  free O 0  free H 0  largest 5  molecules [H2 H2 O2H O2H3]  fenced 4  drift 4.80e-5/8.85e0  |p| 3.90e-12/8.34e-8  T 237 K  190 s
