# POST-HOC DIAGNOSTIC, not the gate. Arm: mixed (8 H + 8 Cl), seed 0x000000004d495801
  curve HH: 96 knots, n_det 4, route Determinant, 0.8 s, well Some((1.3886940180177756, 0.20414235210759035))
  curve HCl: 96 knots, n_det 100, route Determinant, 23.8 s, well Some((2.536888205469792, 0.14829317504643313))
  curve ClCl: 96 knots, n_det 324, route Determinant, 183.9 s, well Some((4.0241237935448035, 0.0645773850005753))
# k_B T_target = 9.500435e-4 Ha at T_target = 300 K; measured T = 199.4 K
#   R_e per pair type, from the curves themselves:
#     HH: R_e Some(1.3886940180177756)  D_e Some(0.20414235210759035)
#     HCl: R_e Some(2.536888205469792)  D_e Some(0.14829317504643313)
#     ClCl: R_e Some(4.0241237935448035)  D_e Some(0.0645773850005753)
i	j	pair	r_bohr	R_e	u_Ha	e_rel_Ha	depth/kT	bonded
0	1	HCl	2.6030	2.5369	-1.4759e-1	-1.4655e-1	155.349	true
0	2	HH	4.0989	1.3887	-8.9342e-3	-8.6270e-3	9.404	true
0	4	HCl	5.7715	2.5369	-1.7141e-3	-9.1133e-4	1.804	true
0	8	HH	3.2600	1.3887	-3.5632e-2	-3.5549e-2	37.506	true
0	12	HCl	2.6499	2.5369	-1.4632e-1	-1.4529e-1	154.009	true
1	2	ClH	2.5402	2.5369	-1.4829e-1	-1.4822e-1	156.089	true
1	4	ClCl	4.9194	4.0241	-3.0037e-2	-2.9752e-2	31.616	true
1	5	ClH	4.7072	2.5369	-1.3152e-2	-1.2952e-2	13.844	true
1	6	ClCl	3.8846	4.0241	-6.2280e-2	-6.1956e-2	65.555	true
1	8	ClH	2.5296	2.5369	-1.4828e-1	-1.4788e-1	156.081	true
1	9	ClCl	3.8176	4.0241	-5.9214e-2	-5.8711e-2	62.328	true
1	11	ClCl	7.0667	4.0241	-5.9835e-4	-4.0015e-4	0.630	true
1	12	ClCl	3.8915	4.0241	-6.2515e-2	-6.2114e-2	65.803	true
1	13	ClH	5.5417	2.5369	-2.7215e-3	-2.5771e-3	2.865	true
2	3	HCl	6.6163	2.5369	-2.8408e-4	-2.7256e-4	0.299	true
2	4	HCl	2.4647	2.5369	-1.4734e-1	-1.4732e-1	155.085	true
2	5	HH	4.6395	1.3887	-3.3809e-3	-3.3317e-3	3.559	true
2	6	HCl	5.1364	2.5369	-5.9792e-3	-5.9553e-3	6.294	true
2	8	HH	1.1760	1.3887	-1.9026e-1	-1.9018e-1	200.269	true
2	9	HCl	2.5155	2.5369	-1.4821e-1	-1.4808e-1	156.007	true
2	11	HCl	7.2437	2.5369	-6.7646e-5	-4.3296e-5	0.071	true
2	12	HCl	3.5530	2.5369	-7.4261e-2	-7.4201e-2	78.166	true
2	13	HH	4.9615	1.3887	-1.8560e-3	-1.6466e-3	1.954	true
3	5	ClH	3.6179	2.5369	-6.8833e-2	-6.8792e-2	72.452	true
3	6	ClCl	6.0393	4.0241	-3.5284e-3	-3.0609e-3	3.714	true
3	7	ClH	2.6854	2.5369	-1.4499e-1	-1.4461e-1	152.611	true
3	9	ClCl	4.1547	4.0241	-6.3023e-2	-6.0874e-2	66.337	true
3	11	ClCl	3.8193	4.0241	-5.9309e-2	-5.8564e-2	62.427	true
3	13	ClH	2.4584	2.5369	-1.4716e-1	-1.4670e-1	154.895	true
4	5	ClH	6.3940	2.5369	-4.6270e-4	-3.2181e-4	0.487	true
4	6	ClCl	7.4314	4.0241	-4.6852e-4	-3.6518e-4	0.493	true
4	8	ClH	2.5926	2.5369	-1.4779e-1	-1.4752e-1	155.559	true
4	9	ClCl	3.9016	4.0241	-6.2835e-2	-6.1666e-2	66.139	true
4	11	ClCl	8.8997	4.0241	-1.8771e-4	-1.7951e-4	0.198	true
4	12	ClCl	4.0088	4.0241	-6.4553e-2	-6.4068e-2	67.947	true
4	13	ClH	6.3138	2.5369	-5.5033e-4	-2.9838e-4	0.579	true
5	6	HCl	2.4582	2.5369	-1.4715e-1	-1.4705e-1	154.888	true
5	7	HH	4.3027	1.3887	-6.2267e-3	-5.9986e-3	6.554	true
5	8	HH	5.7030	1.3887	-4.3733e-4	-2.4768e-4	0.460	true
5	9	HCl	2.5033	2.5369	-1.4809e-1	-1.4791e-1	155.881	true
5	10	HH	3.4334	1.3887	-2.7252e-2	-2.6449e-2	28.685	true
